
CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23
Job Name: P2603-PR-SIM-018
Licensed To: Licensed To: Edit name in <system>\company.txt
DISPLACEMENTS REPORT: Nodal Movements
CASE 1 (OPE) W+T1+P2

 
 

 Node	    DX mm.	    DY mm.	    DZ mm.	   RX deg.	   RY deg.	   RZ deg.
 1500	    -0.185	    -0.002	     0.083	    0.0077	   -0.0158	    0.0058
 1508	    -0.050	     0.064	     0.020	    0.0080	   -0.0161	    0.0078
 1509	    -0.027	     0.069	     0.006	    0.0043	   -0.0097	    0.0061
 1510	    -0.016	     0.059	    -0.002	    0.0002	   -0.0067	    0.0035
 1520	    -0.000	     0.009	    -0.000	   -0.0000	   -0.0000	    0.0000
 1530	    -0.000	    -0.000	    -0.000	   -0.0000	   -0.0000	    0.0000
 1540	    -2.938	     0.088	     0.343	   -0.0373	   -0.0109	    0.0119
 1570	    -2.986	    -0.107	     0.097	   -0.0367	   -0.0108	    0.0143
 1580	    -3.012	    -0.093	     0.031	   -0.0367	   -0.0108	    0.0143
 1590	    -6.649	    -0.670	     0.005	    0.0298	    0.0154	    0.0386
 1600	    -6.719	    -0.656	     0.059	    0.0298	    0.0154	    0.0386
 1610	    -2.793	     0.032	     0.266	   -0.0399	   -0.0110	   -0.0019
 1620	    -2.791	     0.041	     0.221	   -0.0399	   -0.0110	   -0.0019
 1630	    -0.164	     0.452	    -0.021	   -0.0003	    0.0040	    0.0055
 1640	    -3.420	    -0.065	    -0.341	   -0.0306	   -0.0103	    0.0143
 1650	    -3.346	    -0.064	    -0.240	   -0.0221	   -0.0059	    0.0166
 1660	    -0.076	     0.069	     0.023	    0.0012	    0.0053	    0.0047
 1670	    -3.419	    -0.219	    -0.278	   -0.0215	   -0.0056	    0.0259
 1680	    -3.487	    -0.193	    -0.406	   -0.0288	   -0.0100	    0.0204
 1690	     0.000	     0.006	     0.000	    0.0000	    0.0000	    0.0000
 1700	     0.000	    -0.003	     0.000	    0.0000	    0.0000	    0.0000
 1710	     0.000	**********	     0.000	    0.0000	    0.0000	    0.0000
 1720	     0.000	**********	     0.000	    0.0000	    0.0000	    0.0000
 1730	     0.000	**********	     0.000	    0.0000	    0.0000	    0.0000





CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23
Job Name: P2603-PR-SIM-018
Licensed To: Licensed To: Edit name in <system>\company.txt
DISPLACEMENTS REPORT: Nodal Movements
CASE 2 (Alt-SUS) W+P2

 
Output disabled for field "DX"
Output disabled for field "DY"
Output disabled for field "DZ"
Output disabled for field "RX"
Output disabled for field "RY"
Output disabled for field "RZ"

 

 Node	 DX	 DY	 DZ	 RX	 RY	 RZ
     	mm.	mm.	mm.	deg.	deg.	deg.

   10	N/A	N/A	N/A	N/A	N/A	N/A
   20	N/A	N/A	N/A	N/A	N/A	N/A
   28	N/A	N/A	N/A	N/A	N/A	N/A
   29	N/A	N/A	N/A	N/A	N/A	N/A
   30	N/A	N/A	N/A	N/A	N/A	N/A
   40	N/A	N/A	N/A	N/A	N/A	N/A
   50	N/A	N/A	N/A	N/A	N/A	N/A
   53	N/A	N/A	N/A	N/A	N/A	N/A
   56	N/A	N/A	N/A	N/A	N/A	N/A
   60	N/A	N/A	N/A	N/A	N/A	N/A
   70	N/A	N/A	N/A	N/A	N/A	N/A
   80	N/A	N/A	N/A	N/A	N/A	N/A
   88	N/A	N/A	N/A	N/A	N/A	N/A
   89	N/A	N/A	N/A	N/A	N/A	N/A
   90	N/A	N/A	N/A	N/A	N/A	N/A
  100	N/A	N/A	N/A	N/A	N/A	N/A
  109	N/A	N/A	N/A	N/A	N/A	N/A
  110	N/A	N/A	N/A	N/A	N/A	N/A
  118	N/A	N/A	N/A	N/A	N/A	N/A
  119	N/A	N/A	N/A	N/A	N/A	N/A
  120	N/A	N/A	N/A	N/A	N/A	N/A
  130	N/A	N/A	N/A	N/A	N/A	N/A
  140	N/A	N/A	N/A	N/A	N/A	N/A
  150	N/A	N/A	N/A	N/A	N/A	N/A
  160	N/A	N/A	N/A	N/A	N/A	N/A
  168	N/A	N/A	N/A	N/A	N/A	N/A
  169	N/A	N/A	N/A	N/A	N/A	N/A
  170	N/A	N/A	N/A	N/A	N/A	N/A
  180	N/A	N/A	N/A	N/A	N/A	N/A
  190	N/A	N/A	N/A	N/A	N/A	N/A
  200	N/A	N/A	N/A	N/A	N/A	N/A
  208	N/A	N/A	N/A	N/A	N/A	N/A
  209	N/A	N/A	N/A	N/A	N/A	N/A
  210	N/A	N/A	N/A	N/A	N/A	N/A
  220	N/A	N/A	N/A	N/A	N/A	N/A
  230	N/A	N/A	N/A	N/A	N/A	N/A
  238	N/A	N/A	N/A	N/A	N/A	N/A
  239	N/A	N/A	N/A	N/A	N/A	N/A
  240	N/A	N/A	N/A	N/A	N/A	N/A
  248	N/A	N/A	N/A	N/A	N/A	N/A
  249	N/A	N/A	N/A	N/A	N/A	N/A
  250	N/A	N/A	N/A	N/A	N/A	N/A
  260	N/A	N/A	N/A	N/A	N/A	N/A
  270	N/A	N/A	N/A	N/A	N/A	N/A
  280	N/A	N/A	N/A	N/A	N/A	N/A
  290	N/A	N/A	N/A	N/A	N/A	N/A
  300	N/A	N/A	N/A	N/A	N/A	N/A
  310	N/A	N/A	N/A	N/A	N/A	N/A
  313	N/A	N/A	N/A	N/A	N/A	N/A
  316	N/A	N/A	N/A	N/A	N/A	N/A
  320	N/A	N/A	N/A	N/A	N/A	N/A
  330	N/A	N/A	N/A	N/A	N/A	N/A
  333	N/A	N/A	N/A	N/A	N/A	N/A
  336	N/A	N/A	N/A	N/A	N/A	N/A
  340	N/A	N/A	N/A	N/A	N/A	N/A
  350	N/A	N/A	N/A	N/A	N/A	N/A
  358	N/A	N/A	N/A	N/A	N/A	N/A
  359	N/A	N/A	N/A	N/A	N/A	N/A
  360	N/A	N/A	N/A	N/A	N/A	N/A
  370	N/A	N/A	N/A	N/A	N/A	N/A
  380	N/A	N/A	N/A	N/A	N/A	N/A
  390	N/A	N/A	N/A	N/A	N/A	N/A
  398	N/A	N/A	N/A	N/A	N/A	N/A
  399	N/A	N/A	N/A	N/A	N/A	N/A
  400	N/A	N/A	N/A	N/A	N/A	N/A
  408	N/A	N/A	N/A	N/A	N/A	N/A
  409	N/A	N/A	N/A	N/A	N/A	N/A
  410	N/A	N/A	N/A	N/A	N/A	N/A
  420	N/A	N/A	N/A	N/A	N/A	N/A
  430	N/A	N/A	N/A	N/A	N/A	N/A
  440	N/A	N/A	N/A	N/A	N/A	N/A
  450	N/A	N/A	N/A	N/A	N/A	N/A
  460	N/A	N/A	N/A	N/A	N/A	N/A
  470	N/A	N/A	N/A	N/A	N/A	N/A
  480	N/A	N/A	N/A	N/A	N/A	N/A
